pcrID,UniGene,EntrezGene,GeneName,InProliferation,ens
ACTR3B,Hs.647117,57180,ACTR3B,N,ENSG00000133627
ANLN,Hs.62180,54443,ANLN,N,ENSG00000011426
BAG1,Hs.377484,573,BAG1,N,ENSG00000107262
BCL2,Hs.150749,596,BCL2,N,ENSG00000171791
BIRC5,Hs.514527,332,BIRC5,Y,ENSG00000089685
BLVRA,Hs.488143,644,BLVRA,N,ENSG00000106605
CCNB1,Hs.23960,891,CCNB1,Y,ENSG00000134057
CCNE1,Hs.244723,898,CCNE1,N,ENSG00000105173
CDC20,Hs.524947,991,CDC20,Y,ENSG00000117399
CDC6,Hs.405958,990,CDC6,N,ENSG00000094804
CDCA1,Hs.651950,83540,NUF2,Y,ENSG00000143228
CDH3,Hs.461074,1001,CDH3,N,ENSG00000062038
CENPF,Hs.497741,1063,CENPF,N,ENSG00000117724
CEP55,Hs.14559,55165,CEP55,Y,ENSG00000138180
CXXC5,Hs.189119,51523,CXXC5,N,ENSG00000171604
EGFR,Hs.488293,1956,EGFR,N,ENSG00000146648
ERBB2,Hs.446352,2064,ERBB2,N,ENSG00000141736
ESR1,Hs.208124,2099,ESR1,N,ENSG00000091831
EXO1,Hs.498248,9156,EXO1,N,ENSG00000174371
FGFR4,Hs.165950,2264,FGFR4,N,ENSG00000160867
FOXA1,Hs.163484,3169,FOXA1,N,ENSG00000129514
FOXC1,Hs.348883,2296,FOXC1,N,ENSG00000054598
GPR160,Hs.231320,26996,GPR160,N,ENSG00000173890
GRB7,Hs.86859,2886,GRB7,N,ENSG00000141738
KIF2C,Hs.69360,11004,KIF2C,N,ENSG00000142945
KNTC2,Hs.414407,10403,NDC80,Y,ENSG00000080986
KRT14,Hs.654380,3861,KRT14,N,ENSG00000186847
KRT17,Hs.2785,3872,KRT17,N,ENSG00000128422
KRT5,Hs.694210,3852,KRT5,N,ENSG00000186081
MAPT,Hs.101174,4137,MAPT,N,ENSG00000186868
MDM2,Hs.567303,4193,MDM2,N,ENSG00000135679
MELK,Hs.184339,9833,MELK,N,ENSG00000165304
MIA,Hs.646364,8190,MIA,N,ENSG00000261857
MKI67,Hs.80976,4288,MKI67,Y,ENSG00000148773
MLPH,Hs.102406,79083,MLPH,N,ENSG00000115648
MMP11,Hs.143751,4320,MMP11,N,ENSG00000099953
MYBL2,Hs.179718,4605,MYBL2,N,ENSG00000101057
MYC,Hs.202453,4609,MYC,N,ENSG00000136997
NAT1,Hs.591847,9,NAT1,N,ENSG00000171428
ORC6L,Hs.49760,23594,ORC6,N,ENSG00000091651
PGR,Hs.368072,5241,PGR,N,ENSG00000082175
PHGDH,Hs.487296,26227,PHGDH,N,ENSG00000092621
PTTG1,Hs.350966,9232,PTTG1,Y,ENSG00000164611
RRM2,Hs.226390,6241,RRM2,Y,ENSG00000171848
SFRP1,Hs.695991,6422,SFRP1,N,ENSG00000104332
SLC39A6,Hs.79136,25800,SLC39A6,N,ENSG00000141424
TMEM45B,Hs.504301,120224,TMEM45B,N,ENSG00000151715
TYMS,Hs.592338,7298,TYMS,Y,ENSG00000176890
UBE2C,Hs.93002,11065,UBE2C,Y,ENSG00000175063
UBE2T,Hs.5199,28089,UBE2T,N,ENSG00000077152
